UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
121345,-0.14312740309240798,0.674612068561486,0.789230340381037,0.0038732348339230224,3
122409,0.7194645617395768,0.012565228495983913,0.8651591568254428,0.0005828868519484933,1
122436,-0.004945035615323223,0.9884872497837539,0.7439311581907795,0.008663934175875075,3
122597,0.8582425447547656,0.0007224542898297013,0.9650070886837026,1.56106743945199e-06,1
122612,0.45662348715640655,0.15800223906046026,0.9487371980152773,8.498438634037465e-06,1
122755,0.5958930366114051,0.05303566471545957,0.9866491333116117,2.1080665305746125e-08,1
122931,-0.2543790103309469,0.45034315143107,0.5066331690332282,0.11175155200468076,3
123572,0.6146627673858689,0.04418330470912208,0.9907084464898823,4.149771451047728e-09,1
123961,0.33418614789888584,0.3151641283861677,0.8690211954329667,0.0005144208949177003,1
125231,0.022703021250177285,0.9471743838471969,0.02548611502783918,0.9407079296998254,1
125727,0.4471212246231077,0.16794915930552223,0.7282166558727714,0.01104809070106734,1
126562,-0.3310180403823896,0.32005763385759833,0.9593843932154891,3.027492985561615e-06,3
126580,0.5548419313679613,0.07646175404927595,0.9136685362623052,8.425746887551395e-05,1
126614,0.7148696464067448,0.013419354399345057,0.989030605297981,8.737785285424935e-09,1
126669,0.07483901653764112,0.8268928735968212,0.9595127327126229,2.9852383574361563e-06,1
126678,-0.16276916181379486,0.6325222053743002,0.4677435410031213,0.14683715362447589,3
126818,0.786310594960126,0.004101952114485151,0.9682608944667397,1.010965300451214e-06,1
126827,-0.07798466288342208,0.8197177464772735,-0.6672171652792283,0.024907496288272254,4
127060,-0.004177217840748968,0.9902747599164291,0.8523568898562458,0.0008598949517790681,3
127556,0.2644691887682507,0.43193511064349777,0.9318323383813734,2.989371590506063e-05,1
127565,0.08170758424178999,0.8112419139247622,0.988467723372815,1.09356755686912e-08,1
127918,0.07549895038873042,0.8253865811490054,0.40201851908525577,0.2203240474070897,1
128106,0.017437734605965323,0.9594157007012152,0.8592583426277723,0.000700522985457024,1
128328,-0.22737087791998584,0.5013458812037815,0.744018022994843,0.008651904686803609,3
128771,0.8488840225793828,0.000949721917509327,0.976500105399561,2.645657429546061e-07,1
128902,0.6292907420771234,0.03803475849253128,0.4685956724997448,0.14600260518057728,1
129020,0.06817071298188562,0.8421418300125876,0.975224330326767,3.3500459703680466e-07,1
129215,0.04224202745310804,0.9018561787222588,0.9275980651688666,3.896269945747788e-05,1
129242,-0.03141578099241694,0.9269416388481462,0.4082742373744508,0.21254798032295563,3
129525,0.3554183614868748,0.283424333345886,0.8670072721091231,0.0005493164580725776,1
129941,0.39698920416473643,0.2266953144293981,0.5477192652280474,0.0811283885561373,1
130226,0.24449376687366603,0.4687236120874694,0.8188176881572249,0.0020525633661169717,1
130253,-0.45345283114078005,0.16127951745148542,0.7671637812072906,0.005857567842807911,3
130493,-0.08700270928824005,0.7992181640525141,0.8719041473129912,0.00046741774432132314,3
130590,0.4307211236951376,0.18600383980079638,-0.29409317367181104,0.38003628640740966,2
130697,0.2983510123274471,0.37284821119730105,0.7971222694815318,0.0033022220396738094,1
130776,0.39766828461687664,0.22582881152529385,0.9581962543529914,3.440986011299121e-06,1
130794,0.8815371252541079,0.00033357647997558763,0.9373161481691041,2.0662027816289e-05,1
130934,0.31522285658829435,0.34505646648991395,0.8040069057591697,0.002857310225073845,1
130943,0.46018742505286203,0.15436822325518354,0.8477958548242681,0.0009792686865067702,1
131113,0.572525109042305,0.06566020255761991,0.858482828782504,0.0007172203845210833,1
131159,0.3891879955231516,0.2367889419186794,0.9207851927235586,5.781523388234874e-05,1
131283,-0.5547187978941887,0.07654086742800914,0.8975767423621588,0.00017752936678389484,3
131399,0.10285653510220866,0.7634608069405237,0.8643704160071086,0.0005976765450928031,1
131450,0.20722200595541268,0.5409472319749782,0.5762192097973089,0.06354176554158154,1
131469,0.3976659588297563,0.22583177590017997,0.8898619310171294,0.00024333258600536852,1
131496,0.5655198256705123,0.06980739173325905,0.8375227471212896,0.0012934956939810375,1
131520,0.4999999999999999,0.11730680301423828,0.7174437655292497,0.012935869887288816,1
131803,0.41962044850383373,0.19886539577492432,0.6445873204121454,0.032270029511358066,1
132471,0.4638087661232437,0.15072949685683576,0.9061209250029177,0.00012149285263547791,1
132602,-0.3999999999999999,0.22286835013351997,-0.529799340735253,0.09369627318662942,4
132903,0.9186151782519434,6.50830641899781e-05,0.995592605119559,1.457103618977984e-10,1
133492,0.27569486145772354,0.41188603388277356,0.6674397895105354,0.024841620884002585,1
133650,0.6406914963498315,0.03367575579771497,0.651903224967575,0.02974226276252995,1
133669,0.7495948587610198,0.007904771224089231,0.6588625035503836,0.02747009898304744,1
133702,-0.14127031527135983,0.6786374152050992,0.7085193534220582,0.014667702535566044,3
133881,0.7507974753110256,0.007750049286936686,0.8417549592717527,0.0011560646903942874,1
133951,0.2618557429477975,0.4366681847111641,0.6783347034337956,0.0217661859170786,1
133979,0.66405020285043,0.025858054690440696,0.7141613270449123,0.013554650596860654,1
134079,-0.11579746480312338,0.7345746409300882,0.7883399951384913,0.003941952991241909,3
134097,0.9108293897382597,9.705549676351381e-05,0.9845341024707119,4.073404222668303e-08,1
134130,0.20178484437567334,0.5518479089253202,0.9896492187356946,6.735109864540624e-09,1
134237,0.8018079321874255,0.002994243479374983,0.6950483769689949,0.01758929707451888,1
134811,0.41843785618096874,0.20026616606344777,-0.7973246832711437,0.0032884521201862575,2
134945,0.17867371196963727,0.5991369714814446,0.9052165354507552,0.00012667907299515293,1
135081,0.6783740689914527,0.021755592086772572,0.5806671008478498,0.06105302448889459,1
135726,-0.5627467408196959,0.07149660015772602,-0.5000608077006707,0.1172550860017312,4
136172,0.4290554704714467,0.18790065024614072,0.9627350302825897,2.0650598333838374e-06,1
136215,-0.20512306227413052,0.5451447911431306,0.6317807370133668,0.03705101208829629,3
136950,0.3314365877175212,0.3194088138480869,0.8217370773724035,0.0019164390350333634,1
137032,0.7224440554905326,0.01203283692430256,0.7717730449750907,0.005392301883951886,1
137078,0.9212191345826704,5.643974049617525e-05,0.9576767119886866,3.6349094725943755e-06,1
137351,0.1752015890363245,0.6063691225843135,0.8727461468019997,0.00045432463759632034,1
137546,-0.0017969796084899119,0.9958162708497403,0.7957260711507141,0.00339837157816412,3
137847,0.1953208236387937,0.564921132619289,0.42051859980777234,0.19780548099366582,1
138293,-0.37300192329612547,0.25854720086632993,0.4345783966801202,0.18165601300515188,3
138354,0.2215452742032469,0.5126641983734211,0.9217184941656472,5.488804911545125e-05,1
138716,0.3575976876249205,0.2802713378677233,0.927471291916896,3.926331649808244e-05,1
138813,-0.2529285741909108,0.4530188260313483,0.7517693672584554,0.007626637785182731,3
138947,-0.3999999999999999,0.22286835013351997,-0.2878162299994253,0.3907592491358856,4
139311,0.3838923097649873,0.2437866983484995,0.6044771791596705,0.04884919823494843,1
139366,0.5513373462467553,0.07873486518496728,0.7593254980392594,0.006715588582149675,1
139579,0.20726448411076515,0.5408624195910583,0.6315395502730341,0.03714551604094443,1
139658,0.5607708946965364,0.07271677241607315,0.9807039373923291,1.0964309568152215e-07,1
139719,0.09999999999999995,0.7698749998921364,0.1953566992004091,0.5648482397491547,1
139755,-0.14584678413364077,0.6687314584357517,0.7816984536228071,0.0044833827318082695,3
139764,0.11548231337690482,0.735274607728941,0.7676586271642252,0.005806253955200432,1
139861,-0.15667891419937868,0.6454752214373188,0.9244700890002722,4.691464345878307e-05,3
139931,0.5807164324473355,0.06102579877474739,0.7302794069528913,0.01071082245567444,1
139940,0.6872598993389435,0.019456814277043103,0.9902647085939511,5.115876701864492e-09,1
139959,0.17505196373699217,0.606681499424188,0.9740538671436778,4.1165039163810803e-07,1
140340,-0.40014904259613354,0.22267989756474912,-0.14288669775119356,0.6751333824831489,4
140447,0.6720477543641108,0.02350564340962776,0.925482065322313,4.421748801918652e-05,1
140960,0.6102138587921246,0.04618163546034299,0.9135120725309458,8.492716257924982e-05,1
140988,1.3877787807814457e-17,0.9999999999999998,0.5254234189038892,0.09694855235342731,1
141264,0.2758121120024532,0.4116790564309792,0.8807850860661901,0.0003428258859370632,1
141334,0.0918656743267495,0.7882100356314209,0.8897810370635093,0.0002441083866436006,1
141565,0.22498149404967693,0.5059749091998916,0.873666414638413,0.00044033408710429325,1
141574,0.6421466640813916,0.03314577573638263,0.9220703191062916,5.381457313859576e-05,1
141644,0.10424895442569773,0.7603390126286158,0.6012484042743197,0.05039620745998613,1
