UNITID,cs_stat,cs_pval,noncs_stat,noncs_pval,quadrant
110486,0.05194041614896667,0.8794516770512677,-0.09976088230491034,0.7704125186562946,2
110495,0.5935768161579446,0.054205974017586755,0.7373075290796877,0.009617664033232,1
110510,0.14718702932513006,0.6658393141909986,-0.3410237014381743,0.30474148826569947,2
110529,0.7068507892234781,0.015009110405129188,0.7827029270856005,0.004398169182678043,1
110538,-0.14341560425618508,0.6739880581464378,0.8053517645780108,0.002775891761918574,3
110547,-0.43884802608717816,0.17691619664526112,0.22633641569075758,0.5033477113583192,3
110556,-0.3335842674832191,0.3160906778561079,0.6572949480676231,0.027970831694605743,3
110565,0.5210642762337037,0.10026105436680793,-0.42974464740679136,0.18711441572967677,2
110574,0.41958187531674196,0.19891099239527596,0.47309393622284435,0.14164655310668167,1
110583,0.6630377204722102,0.02616728306256062,-0.6260250082106666,0.039352336667392504,2
110592,-0.14884662779719748,0.6622636872072386,0.4773620030979152,0.1375899829432931,3
110608,0.06397088632810316,0.8517712743405689,-0.6769493482932497,0.0221413460051924,2
110617,0.8273928502281814,0.0016720393818266195,-0.3715345787334503,0.26057394992127064,2
110635,0.9256612459898708,4.375259056508621e-05,0.16533728821586205,0.6270876022791443,1
110644,0.9204640030581273,5.884974555684301e-05,0.8379402575208043,0.001279419115465995,1
110653,0.9016710173284499,0.00014865800437451892,0.6407418778654043,0.03365730817008624,1
110662,0.795324512391209,0.0034264052839134873,0.7785715445395995,0.004756463039520521,1
110671,0.3950578593827876,0.22917032164673187,0.621379504579588,0.04128073900691866,1
110680,0.6558854203737137,0.028426547565997308,-0.43701560119756,0.17894105135973382,2
110705,0.681906914851778,0.020819704947214256,0.27093870280011434,0.4203244728396193,1
110714,0.9125378775281913,8.918891807049516e-05,0.3903114524945155,0.2353195606290011,1
111948,0.28470703061863717,0.39612597163352786,0.42163086248769444,0.19649760246699868,1
112260,0.7363780002313376,0.00975736566224265,0.5585273412444745,0.07411910126520875,1
115409,0.4339055227982995,0.18240996168628357,0.8116281187679497,0.002418513673876401,1
115755,0.04501491356060027,0.8954432403838614,0.4051223179095977,0.2164452918647097,1
117140,-0.47654281252440045,0.13836281303823958,-0.46694056257280214,0.14762629567219482,4
117627,0.10040241611281231,0.7689706037074531,0.38471066736112014,0.24269761550593538,1
117946,0.7767012623403433,0.004925549888207868,-0.4953383598564164,0.12131531482929893,2
119605,-0.5277912599528101,0.09517967985978708,-0.6854771640966022,0.01990340937277626,4
120184,-0.052566971960636144,0.8780068172123144,0.13231995104945016,0.698142134422659,3
120883,0.04448572215505962,0.896666694661321,-0.2648367963427998,0.43127132255153267,2
121309,-0.10247790759598727,0.764310236131163,0.8587001226302926,0.000712511932669212,3
121345,0.5443349666679757,0.083410609099555,0.22779172508424464,0.5005324757362758,1
122409,0.6144692201876016,0.044268974825798425,0.12419214753380656,0.7159977815241063,1
122436,0.4796606235195651,0.13543604527612033,-0.47362445143624843,0.14113827557006514,2
122597,0.2745433403631875,0.41392145729307467,-0.5020945189505149,0.11553385881150194,2
122612,0.05834488636215869,0.8646989906889532,0.1463409734240616,0.6676645639537102,1
122755,0.6622932671233834,0.02639631164297383,-0.812723482391883,0.0023598437130496665,2
122931,0.1965199101417574,0.5624868161068949,-0.2397724837555906,0.4776206157222584,2
123572,0.2724474940839917,0.4176385742155766,0.4304234220024264,0.18634200024277414,1
123961,0.7024819373877481,0.01593007155927678,0.4234275502819081,0.1943959351800096,1
125231,0.0958112557004263,0.7793039472074963,0.8076932521962159,0.002638269464393528,1
125727,0.3221580692117222,0.3339574486868225,-0.10368873121357595,0.7615946460223384,2
126562,0.25545759224437403,0.44835823237901856,-0.019647524946085113,0.9542770419179899,2
126580,0.31856349121900696,0.3396863039144838,-0.4004490539260302,0.22230084096307565,2
126614,0.5665620717971345,0.06917951536179033,-0.8484800127553362,0.0009606124598212841,2
126669,0.06775540425882069,0.843093213978042,0.7712735174687868,0.005441363608785644,1
126678,-0.011760009182825909,0.972624652647526,0.4253505805045554,0.1921615396857487,3
126818,0.6843043842523129,0.020201161389424467,-0.22798585368470797,0.5001574615542406,2
126827,0.40860213734570255,0.21214494217322588,0.8117848280882338,0.0024100541047485484,1
127060,-0.7269770624295341,0.0112544357435997,0.34697526770847603,0.295824603833729,3
127556,0.2233641511523404,0.5091186803669645,-0.04751639577657957,0.8896627916635145,2
127565,0.5407560551084378,0.08586999167090073,-0.371157209554548,0.2610966398777672,2
127918,0.2341866840794502,0.48824368170569626,-0.568815848629906,0.06783479785832867,2
128106,-0.09194104595255904,0.7880396876938022,-0.28090572864304175,0.4027366289654993,4
128328,0.7000545601291772,0.016458948459959235,0.8782920660398166,0.00037488496657348127,1
128771,0.04317512107753596,0.8996975792863869,-0.24704533192927747,0.46394695235596883,2
128902,0.8630451958371896,0.0006231620296443303,0.5157228657061144,0.10441968508168262,1
129020,0.9109706780848484,9.638556123188268e-05,0.6982761026664035,0.016854352243899678,1
129215,0.5991302965510518,0.05142911577336565,0.3317048040707934,0.3189934044826153,1
129242,-0.06637114667732989,0.846265607025075,0.20972221142203779,0.5359646196396526,3
129525,0.24765853216131462,0.4628023420082193,-0.6187389281774252,0.04240557095785605,2
129941,-0.23771280512418774,0.48152556305988653,0.307792160795642,0.3571594630553346,3
130226,-0.39476357281836183,0.22954882787955252,-0.09996581345528079,0.7699518431353075,4
130253,-0.21814529147968498,0.5193199456814681,0.6885581963851488,0.01913611107200624,3
130493,0.21903458947995066,0.51757554062051,-0.34734335439310515,0.29527788535890576,2
130590,0.48255266436388555,0.13275655177413465,0.3367674094104441,0.31120712460639055,1
130697,0.48979940867239047,0.12619108074966012,0.7823343857751786,0.004429293859442827,1
130776,-0.04417086496399958,0.89739471893102,-0.37056565857958323,0.26191718741479814,4
130794,0.4920297451424023,0.12421299596817839,-0.23032283829965827,0.49565255438375944,2
130934,-0.18557639110525467,0.5848559028279956,0.47489506475553006,0.13992560208560362,3
130943,0.600613680368347,0.05070422755704827,0.3901387428824619,0.23554510391366387,1
131113,0.29354094591577,0.3809736446226867,0.7342042612704434,0.010089817503563324,1
131159,0.42623052548425183,0.19114431050393382,0.6778186984930487,0.021905389646846782,1
131283,-0.11551369910325283,0.7352048903770028,0.11255185012480033,0.7417919044574403,3
131399,-0.34836480606759584,0.29376363866929484,-0.34854624837749315,0.2934951085299097,4
131450,-0.10148142699397789,0.7665468957987893,0.29206086546636056,0.3834916920821539,3
131469,0.4615301145043361,0.15301276718481324,0.6735973906581857,0.02306805096259995,1
131496,0.7843176353269218,0.0042637017287428846,-0.34320591076624096,0.3014551863834685,2
131520,0.06608584578524782,0.846919705781694,0.2636536432739386,0.43340947323263745,1
131803,0.39950187031838486,0.2234988752214604,0.2117154381257103,0.5320060254736391,1
132471,-0.42365729168834876,0.19412817653058906,-0.860583822238474,0.0006726655009448965,4
132602,0.35351608458140926,0.28619254587903764,-0.03848821388046468,0.9105460692247737,2
132903,0.9014371783714228,0.00015020330090465242,0.6145287018749104,0.044242634147219725,1
133492,0.033793967941983374,0.9214253048191523,0.817838394541044,0.0020998021602459875,1
133650,0.41365743399700666,0.20598861525821524,0.88917075242276,0.00025002199847318424,1
133669,0.7279239371955027,0.011096567705981508,-0.31462185686657,0.3460272803367132,2
133702,0.6043309042562752,0.04891856819629817,-0.25765240887172214,0.4443317474031217,2
133881,0.5478715588413356,0.08102667623592912,-0.5210458500761947,0.10027521111986464,2
133951,0.41080123695462833,0.20945363901511502,0.7812558289807721,0.004521316677587886,1
133979,0.6463584496279513,0.03164476367523433,0.3990297544293414,0.22409743794078274,1
134079,-0.2482298560624946,0.46173706457246133,0.6630069759351288,0.026176713615445782,3
134097,0.6867897790429502,0.019573883019217763,0.7498806901179942,0.007867795133434398,1
134130,0.6620651230090899,0.02646678195140509,0.8786348000234868,0.0003703480140089799,1
134237,-0.5406829166901251,0.08592074601230587,0.9119797125844861,9.170321240779078e-05,3
